date,siblings,isPartial
2012-01-01,51,False
2012-01-08,56,False
2012-01-15,56,False
2012-01-22,49,False
2012-01-29,49,False
2012-02-05,55,False
2012-02-12,90,False
2012-02-19,75,False
2012-02-26,56,False
2012-03-04,51,False
2012-03-11,48,False
2012-03-18,50,False
2012-03-25,51,False
2012-04-01,54,False
2012-04-08,100,False
2012-04-15,60,False
2012-04-22,56,False
2012-04-29,55,False
2012-05-06,51,False
2012-05-13,57,False
2012-05-20,56,False
2012-05-27,52,False
2012-06-03,53,False
2012-06-10,52,False
2012-06-17,53,False
2012-06-24,48,False
2012-07-01,58,False
2012-07-08,57,False
2012-07-15,50,False
2012-07-22,49,False
2012-07-29,61,False
2012-08-05,46,False
2012-08-12,55,False
2012-08-19,49,False
2012-08-26,53,False
2012-09-02,55,False
2012-09-09,50,False
2012-09-16,56,False
2012-09-23,86,False
2012-09-30,51,False
2012-10-07,53,False
2012-10-14,55,False
2012-10-21,57,False
2012-10-28,51,False
2012-11-04,54,False
2012-11-11,56,False
2012-11-18,55,False
2012-11-25,56,False
2012-12-02,64,False
2012-12-09,53,False
2012-12-16,51,False
2012-12-23,52,False
2012-12-30,57,False
