date,siblings,isPartial
2014-01-05,28,False
2014-01-12,29,False
2014-01-19,34,False
2014-01-26,32,False
2014-02-02,36,False
2014-02-09,36,False
2014-02-16,37,False
2014-02-23,34,False
2014-03-02,30,False
2014-03-09,31,False
2014-03-16,31,False
2014-03-23,30,False
2014-03-30,34,False
2014-04-06,100,False
2014-04-13,31,False
2014-04-20,32,False
2014-04-27,33,False
2014-05-04,34,False
2014-05-11,32,False
2014-05-18,31,False
2014-05-25,30,False
2014-06-01,26,False
2014-06-08,26,False
2014-06-15,28,False
2014-06-22,27,False
2014-06-29,28,False
2014-07-06,30,False
2014-07-13,31,False
2014-07-20,29,False
2014-07-27,27,False
2014-08-03,32,False
2014-08-10,37,False
2014-08-17,33,False
2014-08-24,31,False
2014-08-31,37,False
2014-09-07,31,False
2014-09-14,32,False
2014-09-21,33,False
2014-09-28,32,False
2014-10-05,32,False
2014-10-12,31,False
2014-10-19,34,False
2014-10-26,32,False
2014-11-02,37,False
2014-11-09,35,False
2014-11-16,36,False
2014-11-23,37,False
2014-11-30,41,False
2014-12-07,38,False
2014-12-14,34,False
2014-12-21,38,False
2014-12-28,46,False
