geoName,grief
Alabama,64
Alaska,100
Arizona,68
Arkansas,68
California,57
Colorado,72
Connecticut,70
Delaware,67
District of Columbia,58
Florida,53
Georgia,55
Hawaii,59
Idaho,64
Illinois,58
Indiana,74
Iowa,64
Kansas,71
Kentucky,80
Louisiana,76
Maine,76
Maryland,61
Massachusetts,59
Michigan,72
Minnesota,82
Mississippi,75
Missouri,72
Montana,77
Nebraska,60
Nevada,48
New Hampshire,65
New Jersey,57
New Mexico,76
New York,56
North Carolina,60
North Dakota,72
Ohio,68
Oklahoma,92
Oregon,75
Pennsylvania,70
Rhode Island,64
South Carolina,72
South Dakota,73
Tennessee,76
Texas,56
Utah,63
Vermont,71
Virginia,64
Washington,65
West Virginia,82
Wisconsin,72
Wyoming,62
