date,grief,isPartial
2014-01-05,83,False
2014-01-12,89,False
2014-01-19,83,False
2014-01-26,89,False
2014-02-02,89,False
2014-02-09,90,False
2014-02-16,88,False
2014-02-23,93,False
2014-03-02,92,False
2014-03-09,94,False
2014-03-16,84,False
2014-03-23,85,False
2014-03-30,89,False
2014-04-06,83,False
2014-04-13,97,False
2014-04-20,91,False
2014-04-27,98,False
2014-05-04,100,False
2014-05-11,85,False
2014-05-18,88,False
2014-05-25,83,False
2014-06-01,79,False
2014-06-08,74,False
2014-06-15,77,False
2014-06-22,77,False
2014-06-29,83,False
2014-07-06,73,False
2014-07-13,75,False
2014-07-20,81,False
2014-07-27,77,False
2014-08-03,77,False
2014-08-10,83,False
2014-08-17,82,False
2014-08-24,75,False
2014-08-31,73,False
2014-09-07,91,False
2014-09-14,87,False
2014-09-21,87,False
2014-09-28,87,False
2014-10-05,90,False
2014-10-12,90,False
2014-10-19,95,False
2014-10-26,86,False
2014-11-02,90,False
2014-11-09,92,False
2014-11-16,92,False
2014-11-23,77,False
2014-11-30,92,False
2014-12-07,93,False
2014-12-14,89,False
2014-12-21,69,False
2014-12-28,71,False
