geoName,grief
Alabama,65
Alaska,73
Arizona,71
Arkansas,67
California,63
Colorado,78
Connecticut,64
Delaware,67
District of Columbia,60
Florida,56
Georgia,59
Hawaii,58
Idaho,89
Illinois,62
Indiana,73
Iowa,78
Kansas,62
Kentucky,77
Louisiana,70
Maine,81
Maryland,68
Massachusetts,65
Michigan,64
Minnesota,80
Mississippi,60
Missouri,77
Montana,100
Nebraska,65
Nevada,57
New Hampshire,72
New Jersey,64
New Mexico,85
New York,58
North Carolina,64
North Dakota,66
Ohio,72
Oklahoma,77
Oregon,54
Pennsylvania,68
Rhode Island,85
South Carolina,62
South Dakota,71
Tennessee,64
Texas,63
Utah,82
Vermont,67
Virginia,53
Washington,75
West Virginia,76
Wisconsin,70
Wyoming,77
