geoName,grief
Alabama,85
Alaska,87
Arizona,82
Arkansas,91
California,74
Colorado,87
Connecticut,77
Delaware,88
District of Columbia,70
Florida,67
Georgia,71
Hawaii,67
Idaho,86
Illinois,72
Indiana,94
Iowa,90
Kansas,68
Kentucky,82
Louisiana,77
Maine,98
Maryland,78
Massachusetts,85
Michigan,79
Minnesota,87
Mississippi,77
Missouri,83
Montana,92
Nebraska,89
Nevada,68
New Hampshire,83
New Jersey,71
New Mexico,74
New York,69
North Carolina,76
North Dakota,68
Ohio,86
Oklahoma,78
Oregon,72
Pennsylvania,80
Rhode Island,67
South Carolina,81
South Dakota,76
Tennessee,79
Texas,69
Utah,93
Vermont,100
Virginia,53
Washington,87
West Virginia,76
Wisconsin,78
Wyoming,68
