geoName,grief
Alabama,72
Alaska,66
Arizona,65
Arkansas,77
California,59
Colorado,72
Connecticut,67
Delaware,51
District of Columbia,68
Florida,53
Georgia,51
Hawaii,57
Idaho,62
Illinois,58
Indiana,72
Iowa,61
Kansas,60
Kentucky,68
Louisiana,68
Maine,65
Maryland,67
Massachusetts,61
Michigan,68
Minnesota,74
Mississippi,60
Missouri,64
Montana,94
Nebraska,76
Nevada,54
New Hampshire,67
New Jersey,58
New Mexico,97
New York,53
North Carolina,61
North Dakota,89
Ohio,72
Oklahoma,75
Oregon,52
Pennsylvania,71
Rhode Island,81
South Carolina,71
South Dakota,100
Tennessee,68
Texas,56
Utah,78
Vermont,77
Virginia,65
Washington,77
West Virginia,79
Wisconsin,58
Wyoming,38
