date,grief,isPartial
2015-01-04,79,False
2015-01-11,77,False
2015-01-18,85,False
2015-01-25,83,False
2015-02-01,82,False
2015-02-08,79,False
2015-02-15,76,False
2015-02-22,87,False
2015-03-01,80,False
2015-03-08,97,False
2015-03-15,89,False
2015-03-22,100,False
2015-03-29,80,False
2015-04-05,86,False
2015-04-12,85,False
2015-04-19,98,False
2015-04-26,90,False
2015-05-03,79,False
2015-05-10,87,False
2015-05-17,73,False
2015-05-24,77,False
2015-05-31,87,False
2015-06-07,80,False
2015-06-14,79,False
2015-06-21,73,False
2015-06-28,81,False
2015-07-05,77,False
2015-07-12,80,False
2015-07-19,77,False
2015-07-26,80,False
2015-08-02,70,False
2015-08-09,73,False
2015-08-16,77,False
2015-08-23,75,False
2015-08-30,81,False
2015-09-06,88,False
2015-09-13,84,False
2015-09-20,100,False
2015-09-27,85,False
2015-10-04,89,False
2015-10-11,93,False
2015-10-18,80,False
2015-10-25,86,False
2015-11-01,98,False
2015-11-08,94,False
2015-11-15,96,False
2015-11-22,76,False
2015-11-29,82,False
2015-12-06,90,False
2015-12-13,77,False
2015-12-20,69,False
2015-12-27,66,False
