date,grief,isPartial
2011-01-02,83,False
2011-01-09,93,False
2011-01-16,85,False
2011-01-23,93,False
2011-01-30,82,False
2011-02-06,90,False
2011-02-13,92,False
2011-02-20,91,False
2011-02-27,96,False
2011-03-06,86,False
2011-03-13,87,False
2011-03-20,88,False
2011-03-27,99,False
2011-04-03,98,False
2011-04-10,96,False
2011-04-17,85,False
2011-04-24,81,False
2011-05-01,99,False
2011-05-08,87,False
2011-05-15,87,False
2011-05-22,86,False
2011-05-29,71,False
2011-06-05,76,False
2011-06-12,80,False
2011-06-19,80,False
2011-06-26,88,False
2011-07-03,82,False
2011-07-10,89,False
2011-07-17,77,False
2011-07-24,81,False
2011-07-31,81,False
2011-08-07,89,False
2011-08-14,76,False
2011-08-21,83,False
2011-08-28,81,False
2011-09-04,88,False
2011-09-11,97,False
2011-09-18,89,False
2011-09-25,88,False
2011-10-02,91,False
2011-10-09,88,False
2011-10-16,85,False
2011-10-23,100,False
2011-10-30,84,False
2011-11-06,90,False
2011-11-13,88,False
2011-11-20,82,False
2011-11-27,89,False
2011-12-04,95,False
2011-12-11,99,False
2011-12-18,75,False
2011-12-25,71,False
