date,grief,isPartial
2013-01-06,80,False
2013-01-13,90,False
2013-01-20,92,False
2013-01-27,91,False
2013-02-03,91,False
2013-02-10,83,False
2013-02-17,90,False
2013-02-24,83,False
2013-03-03,91,False
2013-03-10,85,False
2013-03-17,95,False
2013-03-24,84,False
2013-03-31,92,False
2013-04-07,96,False
2013-04-14,100,False
2013-04-21,97,False
2013-04-28,95,False
2013-05-05,92,False
2013-05-12,84,False
2013-05-19,88,False
2013-05-26,86,False
2013-06-02,81,False
2013-06-09,85,False
2013-06-16,88,False
2013-06-23,76,False
2013-06-30,74,False
2013-07-07,86,False
2013-07-14,79,False
2013-07-21,92,False
2013-07-28,85,False
2013-08-04,84,False
2013-08-11,83,False
2013-08-18,79,False
2013-08-25,83,False
2013-09-01,75,False
2013-09-08,93,False
2013-09-15,88,False
2013-09-22,82,False
2013-09-29,85,False
2013-10-06,94,False
2013-10-13,89,False
2013-10-20,90,False
2013-10-27,88,False
2013-11-03,89,False
2013-11-10,89,False
2013-11-17,99,False
2013-11-24,81,False
2013-12-01,93,False
2013-12-08,98,False
2013-12-15,87,False
2013-12-22,63,False
2013-12-29,70,False
