geoName,crisis
Alabama,65
Alaska,85
Arizona,77
Arkansas,63
California,65
Colorado,65
Connecticut,77
Delaware,74
District of Columbia,84
Florida,65
Georgia,61
Hawaii,68
Idaho,70
Illinois,59
Indiana,80
Iowa,78
Kansas,70
Kentucky,69
Louisiana,59
Maine,87
Maryland,83
Massachusetts,74
Michigan,59
Minnesota,73
Mississippi,60
Missouri,67
Montana,57
Nebraska,69
Nevada,62
New Hampshire,81
New Jersey,79
New Mexico,84
New York,74
North Carolina,81
North Dakota,69
Ohio,68
Oklahoma,78
Oregon,68
Pennsylvania,82
Rhode Island,76
South Carolina,69
South Dakota,72
Tennessee,68
Texas,59
Utah,66
Vermont,100
Virginia,80
Washington,73
West Virginia,67
Wisconsin,70
Wyoming,89
