geoName,crisis
Alabama,70
Alaska,86
Arizona,77
Arkansas,65
California,69
Colorado,66
Connecticut,82
Delaware,57
District of Columbia,100
Florida,69
Georgia,63
Hawaii,71
Idaho,81
Illinois,64
Indiana,73
Iowa,79
Kansas,72
Kentucky,64
Louisiana,65
Maine,92
Maryland,84
Massachusetts,80
Michigan,66
Minnesota,80
Mississippi,62
Missouri,76
Montana,68
Nebraska,74
Nevada,68
New Hampshire,77
New Jersey,82
New Mexico,89
New York,77
North Carolina,83
North Dakota,71
Ohio,71
Oklahoma,77
Oregon,79
Pennsylvania,86
Rhode Island,72
South Carolina,74
South Dakota,74
Tennessee,70
Texas,61
Utah,61
Vermont,91
Virginia,75
Washington,76
West Virginia,79
Wisconsin,79
Wyoming,88
