geoName,crisis
Alabama,69
Alaska,70
Arizona,80
Arkansas,68
California,70
Colorado,69
Connecticut,87
Delaware,90
District of Columbia,100
Florida,69
Georgia,69
Hawaii,59
Idaho,69
Illinois,72
Indiana,79
Iowa,78
Kansas,68
Kentucky,63
Louisiana,64
Maine,96
Maryland,86
Massachusetts,85
Michigan,69
Minnesota,80
Mississippi,70
Missouri,77
Montana,72
Nebraska,73
Nevada,63
New Hampshire,94
New Jersey,76
New Mexico,74
New York,77
North Carolina,91
North Dakota,75
Ohio,76
Oklahoma,70
Oregon,48
Pennsylvania,85
Rhode Island,83
South Carolina,72
South Dakota,61
Tennessee,69
Texas,70
Utah,66
Vermont,88
Virginia,70
Washington,76
West Virginia,88
Wisconsin,73
Wyoming,64
