geoName,crisis
Alabama,68
Alaska,89
Arizona,80
Arkansas,76
California,68
Colorado,75
Connecticut,91
Delaware,68
District of Columbia,82
Florida,62
Georgia,65
Hawaii,54
Idaho,71
Illinois,67
Indiana,75
Iowa,84
Kansas,69
Kentucky,63
Louisiana,61
Maine,100
Maryland,88
Massachusetts,87
Michigan,63
Minnesota,85
Mississippi,63
Missouri,79
Montana,66
Nebraska,64
Nevada,56
New Hampshire,73
New Jersey,77
New Mexico,73
New York,73
North Carolina,78
North Dakota,62
Ohio,74
Oklahoma,70
Oregon,60
Pennsylvania,80
Rhode Island,77
South Carolina,70
South Dakota,81
Tennessee,67
Texas,66
Utah,69
Vermont,90
Virginia,56
Washington,71
West Virginia,71
Wisconsin,70
Wyoming,77
