geoName,crisis
Alabama,61
Alaska,72
Arizona,84
Arkansas,66
California,70
Colorado,76
Connecticut,86
Delaware,76
District of Columbia,100
Florida,61
Georgia,69
Hawaii,71
Idaho,68
Illinois,70
Indiana,72
Iowa,76
Kansas,71
Kentucky,62
Louisiana,65
Maine,91
Maryland,86
Massachusetts,85
Michigan,98
Minnesota,83
Mississippi,66
Missouri,71
Montana,56
Nebraska,66
Nevada,59
New Hampshire,83
New Jersey,76
New Mexico,62
New York,81
North Carolina,83
North Dakota,63
Ohio,70
Oklahoma,75
Oregon,72
Pennsylvania,84
Rhode Island,85
South Carolina,69
South Dakota,64
Tennessee,67
Texas,66
Utah,69
Vermont,98
Virginia,82
Washington,76
West Virginia,70
Wisconsin,73
Wyoming,71
