geoName,treatment
Alabama,89
Alaska,95
Arizona,86
Arkansas,86
California,76
Colorado,79
Connecticut,88
Delaware,90
District of Columbia,78
Florida,87
Georgia,83
Hawaii,86
Idaho,81
Illinois,79
Indiana,84
Iowa,81
Kansas,87
Kentucky,93
Louisiana,83
Maine,89
Maryland,89
Massachusetts,92
Michigan,83
Minnesota,90
Mississippi,89
Missouri,87
Montana,87
Nebraska,85
Nevada,74
New Hampshire,91
New Jersey,84
New Mexico,89
New York,91
North Carolina,86
North Dakota,85
Ohio,83
Oklahoma,85
Oregon,90
Pennsylvania,90
Rhode Island,82
South Carolina,81
South Dakota,93
Tennessee,88
Texas,78
Utah,75
Vermont,85
Virginia,93
Washington,85
West Virginia,100
Wisconsin,81
Wyoming,77
