geoName,treatment
Alabama,90
Alaska,91
Arizona,86
Arkansas,90
California,77
Colorado,76
Connecticut,88
Delaware,93
District of Columbia,76
Florida,82
Georgia,77
Hawaii,78
Idaho,80
Illinois,77
Indiana,81
Iowa,81
Kansas,75
Kentucky,88
Louisiana,84
Maine,95
Maryland,91
Massachusetts,83
Michigan,82
Minnesota,85
Mississippi,88
Missouri,83
Montana,96
Nebraska,84
Nevada,78
New Hampshire,88
New Jersey,84
New Mexico,90
New York,78
North Carolina,86
North Dakota,85
Ohio,85
Oklahoma,86
Oregon,54
Pennsylvania,88
Rhode Island,85
South Carolina,86
South Dakota,93
Tennessee,93
Texas,73
Utah,75
Vermont,92
Virginia,68
Washington,84
West Virginia,100
Wisconsin,82
Wyoming,81
