geoName,treatment
Alabama,88
Alaska,84
Arizona,86
Arkansas,86
California,79
Colorado,83
Connecticut,86
Delaware,89
District of Columbia,76
Florida,84
Georgia,82
Hawaii,87
Idaho,82
Illinois,75
Indiana,83
Iowa,83
Kansas,83
Kentucky,93
Louisiana,87
Maine,100
Maryland,87
Massachusetts,86
Michigan,80
Minnesota,87
Mississippi,85
Missouri,85
Montana,91
Nebraska,86
Nevada,76
New Hampshire,91
New Jersey,86
New Mexico,94
New York,80
North Carolina,89
North Dakota,85
Ohio,83
Oklahoma,89
Oregon,61
Pennsylvania,90
Rhode Island,91
South Carolina,93
South Dakota,99
Tennessee,91
Texas,75
Utah,75
Vermont,94
Virginia,86
Washington,82
West Virginia,95
Wisconsin,82
Wyoming,89
