geoName,treatment
Alabama,93
Alaska,88
Arizona,86
Arkansas,91
California,79
Colorado,85
Connecticut,87
Delaware,96
District of Columbia,81
Florida,91
Georgia,80
Hawaii,87
Idaho,83
Illinois,77
Indiana,88
Iowa,82
Kansas,82
Kentucky,91
Louisiana,94
Maine,92
Maryland,93
Massachusetts,88
Michigan,78
Minnesota,92
Mississippi,88
Missouri,84
Montana,93
Nebraska,86
Nevada,79
New Hampshire,93
New Jersey,88
New Mexico,96
New York,79
North Carolina,90
North Dakota,88
Ohio,83
Oklahoma,89
Oregon,86
Pennsylvania,98
Rhode Island,89
South Carolina,93
South Dakota,94
Tennessee,94
Texas,78
Utah,80
Vermont,92
Virginia,87
Washington,81
West Virginia,100
Wisconsin,82
Wyoming,82
