geoName,treatment
Alabama,87
Alaska,86
Arizona,83
Arkansas,89
California,73
Colorado,80
Connecticut,89
Delaware,86
District of Columbia,79
Florida,87
Georgia,79
Hawaii,86
Idaho,81
Illinois,74
Indiana,83
Iowa,80
Kansas,69
Kentucky,86
Louisiana,83
Maine,90
Maryland,91
Massachusetts,83
Michigan,80
Minnesota,87
Mississippi,91
Missouri,80
Montana,91
Nebraska,83
Nevada,73
New Hampshire,85
New Jersey,79
New Mexico,88
New York,80
North Carolina,85
North Dakota,84
Ohio,84
Oklahoma,87
Oregon,66
Pennsylvania,90
Rhode Island,83
South Carolina,77
South Dakota,93
Tennessee,91
Texas,71
Utah,75
Vermont,92
Virginia,62
Washington,80
West Virginia,100
Wisconsin,79
Wyoming,79
