geoName,treatment
Alabama,84
Alaska,85
Arizona,78
Arkansas,88
California,70
Colorado,80
Connecticut,88
Delaware,87
District of Columbia,77
Florida,81
Georgia,77
Hawaii,83
Idaho,84
Illinois,80
Indiana,84
Iowa,78
Kansas,81
Kentucky,91
Louisiana,87
Maine,89
Maryland,85
Massachusetts,83
Michigan,80
Minnesota,87
Mississippi,87
Missouri,80
Montana,98
Nebraska,79
Nevada,70
New Hampshire,87
New Jersey,83
New Mexico,88
New York,74
North Carolina,83
North Dakota,86
Ohio,83
Oklahoma,86
Oregon,86
Pennsylvania,91
Rhode Island,89
South Carolina,85
South Dakota,94
Tennessee,92
Texas,70
Utah,76
Vermont,94
Virginia,80
Washington,80
West Virginia,100
Wisconsin,86
Wyoming,84
