date,appetite loss,isPartial
2013-01-06,72,False
2013-01-13,72,False
2013-01-20,74,False
2013-01-27,73,False
2013-02-03,65,False
2013-02-10,68,False
2013-02-17,81,False
2013-02-24,64,False
2013-03-03,75,False
2013-03-10,92,False
2013-03-17,83,False
2013-03-24,80,False
2013-03-31,82,False
2013-04-07,100,False
2013-04-14,65,False
2013-04-21,71,False
2013-04-28,88,False
2013-05-05,84,False
2013-05-12,76,False
2013-05-19,72,False
2013-05-26,91,False
2013-06-02,77,False
2013-06-09,72,False
2013-06-16,73,False
2013-06-23,91,False
2013-06-30,83,False
2013-07-07,85,False
2013-07-14,82,False
2013-07-21,86,False
2013-07-28,88,False
2013-08-04,74,False
2013-08-11,78,False
2013-08-18,76,False
2013-08-25,87,False
2013-09-01,98,False
2013-09-08,84,False
2013-09-15,87,False
2013-09-22,89,False
2013-09-29,67,False
2013-10-06,80,False
2013-10-13,81,False
2013-10-20,76,False
2013-10-27,84,False
2013-11-03,73,False
2013-11-10,91,False
2013-11-17,79,False
2013-11-24,73,False
2013-12-01,80,False
2013-12-08,83,False
2013-12-15,76,False
2013-12-22,79,False
2013-12-29,99,False
