geoName,appetite loss
Alabama,48
Alaska,0
Arizona,47
Arkansas,37
California,38
Colorado,42
Connecticut,41
Delaware,37
District of Columbia,51
Florida,47
Georgia,40
Hawaii,31
Idaho,19
Illinois,41
Indiana,67
Iowa,30
Kansas,20
Kentucky,54
Louisiana,53
Maine,45
Maryland,46
Massachusetts,52
Michigan,40
Minnesota,50
Mississippi,63
Missouri,35
Montana,100
Nebraska,28
Nevada,22
New Hampshire,42
New Jersey,45
New Mexico,49
New York,45
North Carolina,55
North Dakota,38
Ohio,44
Oklahoma,54
Oregon,44
Pennsylvania,49
Rhode Island,59
South Carolina,55
South Dakota,0
Tennessee,60
Texas,44
Utah,46
Vermont,0
Virginia,48
Washington,42
West Virginia,66
Wisconsin,43
Wyoming,0
