date,appetite loss,isPartial
2011-01-02,76,False
2011-01-09,67,False
2011-01-16,79,False
2011-01-23,84,False
2011-01-30,51,False
2011-02-06,77,False
2011-02-13,83,False
2011-02-20,84,False
2011-02-27,79,False
2011-03-06,79,False
2011-03-13,64,False
2011-03-20,79,False
2011-03-27,62,False
2011-04-03,68,False
2011-04-10,78,False
2011-04-17,63,False
2011-04-24,81,False
2011-05-01,73,False
2011-05-08,84,False
2011-05-15,61,False
2011-05-22,78,False
2011-05-29,80,False
2011-06-05,91,False
2011-06-12,70,False
2011-06-19,82,False
2011-06-26,84,False
2011-07-03,68,False
2011-07-10,79,False
2011-07-17,73,False
2011-07-24,65,False
2011-07-31,84,False
2011-08-07,81,False
2011-08-14,81,False
2011-08-21,64,False
2011-08-28,92,False
2011-09-04,79,False
2011-09-11,70,False
2011-09-18,81,False
2011-09-25,68,False
2011-10-02,80,False
2011-10-09,66,False
2011-10-16,100,False
2011-10-23,77,False
2011-10-30,85,False
2011-11-06,82,False
2011-11-13,78,False
2011-11-20,58,False
2011-11-27,64,False
2011-12-04,76,False
2011-12-11,67,False
2011-12-18,79,False
2011-12-25,88,False
