date,appetite loss,isPartial
2014-01-05,92,False
2014-01-12,90,False
2014-01-19,77,False
2014-01-26,77,False
2014-02-02,76,False
2014-02-09,86,False
2014-02-16,88,False
2014-02-23,87,False
2014-03-02,71,False
2014-03-09,83,False
2014-03-16,78,False
2014-03-23,67,False
2014-03-30,78,False
2014-04-06,69,False
2014-04-13,100,False
2014-04-20,87,False
2014-04-27,93,False
2014-05-04,75,False
2014-05-11,90,False
2014-05-18,78,False
2014-05-25,83,False
2014-06-01,81,False
2014-06-08,79,False
2014-06-15,83,False
2014-06-22,87,False
2014-06-29,71,False
2014-07-06,81,False
2014-07-13,90,False
2014-07-20,78,False
2014-07-27,89,False
2014-08-03,81,False
2014-08-10,83,False
2014-08-17,89,False
2014-08-24,87,False
2014-08-31,85,False
2014-09-07,82,False
2014-09-14,77,False
2014-09-21,72,False
2014-09-28,62,False
2014-10-05,78,False
2014-10-12,94,False
2014-10-19,80,False
2014-10-26,84,False
2014-11-02,60,False
2014-11-09,56,False
2014-11-16,71,False
2014-11-23,79,False
2014-11-30,77,False
2014-12-07,72,False
2014-12-14,70,False
2014-12-21,74,False
2014-12-28,79,False
