geoName,appetite loss
Alabama,59
Alaska,0
Arizona,56
Arkansas,64
California,53
Colorado,56
Connecticut,53
Delaware,26
District of Columbia,68
Florida,64
Georgia,71
Hawaii,45
Idaho,64
Illinois,60
Indiana,65
Iowa,69
Kansas,61
Kentucky,76
Louisiana,83
Maine,68
Maryland,66
Massachusetts,58
Michigan,58
Minnesota,58
Mississippi,93
Missouri,55
Montana,53
Nebraska,81
Nevada,64
New Hampshire,53
New Jersey,57
New Mexico,60
New York,56
North Carolina,59
North Dakota,72
Ohio,61
Oklahoma,80
Oregon,42
Pennsylvania,67
Rhode Island,100
South Carolina,87
South Dakota,0
Tennessee,76
Texas,66
Utah,63
Vermont,0
Virginia,68
Washington,69
West Virginia,82
Wisconsin,76
Wyoming,0
