geoName,appetite loss
Alabama,63
Alaska,0
Arizona,56
Arkansas,60
California,52
Colorado,68
Connecticut,44
Delaware,64
District of Columbia,84
Florida,65
Georgia,75
Hawaii,55
Idaho,59
Illinois,74
Indiana,60
Iowa,65
Kansas,49
Kentucky,58
Louisiana,67
Maine,48
Maryland,71
Massachusetts,68
Michigan,71
Minnesota,54
Mississippi,100
Missouri,73
Montana,41
Nebraska,78
Nevada,67
New Hampshire,38
New Jersey,52
New Mexico,56
New York,59
North Carolina,73
North Dakota,70
Ohio,80
Oklahoma,75
Oregon,66
Pennsylvania,78
Rhode Island,75
South Carolina,70
South Dakota,0
Tennessee,65
Texas,64
Utah,66
Vermont,0
Virginia,74
Washington,55
West Virginia,57
Wisconsin,55
Wyoming,0
