geoName,appetite loss
Alabama,69
Alaska,0
Arizona,56
Arkansas,66
California,51
Colorado,46
Connecticut,38
Delaware,59
District of Columbia,48
Florida,57
Georgia,59
Hawaii,71
Idaho,45
Illinois,52
Indiana,58
Iowa,49
Kansas,56
Kentucky,59
Louisiana,61
Maine,56
Maryland,55
Massachusetts,51
Michigan,55
Minnesota,52
Mississippi,66
Missouri,49
Montana,75
Nebraska,50
Nevada,52
New Hampshire,50
New Jersey,51
New Mexico,50
New York,48
North Carolina,61
North Dakota,38
Ohio,52
Oklahoma,71
Oregon,27
Pennsylvania,57
Rhode Island,54
South Carolina,61
South Dakota,0
Tennessee,63
Texas,47
Utah,38
Vermont,0
Virginia,53
Washington,44
West Virginia,100
Wisconsin,54
Wyoming,0
