date,protect,isPartial
2013-01-06,92,False
2013-01-13,89,False
2013-01-20,87,False
2013-01-27,87,False
2013-02-03,83,False
2013-02-10,84,False
2013-02-17,85,False
2013-02-24,87,False
2013-03-03,91,False
2013-03-10,91,False
2013-03-17,92,False
2013-03-24,84,False
2013-03-31,87,False
2013-04-07,96,False
2013-04-14,92,False
2013-04-21,94,False
2013-04-28,95,False
2013-05-05,96,False
2013-05-12,100,False
2013-05-19,92,False
2013-05-26,89,False
2013-06-02,90,False
2013-06-09,87,False
2013-06-16,71,False
2013-06-23,77,False
2013-06-30,79,False
2013-07-07,77,False
2013-07-14,79,False
2013-07-21,82,False
2013-07-28,75,False
2013-08-04,80,False
2013-08-11,80,False
2013-08-18,76,False
2013-08-25,83,False
2013-09-01,85,False
2013-09-08,89,False
2013-09-15,92,False
2013-09-22,87,False
2013-09-29,87,False
2013-10-06,99,False
2013-10-13,86,False
2013-10-20,95,False
2013-10-27,90,False
2013-11-03,97,False
2013-11-10,95,False
2013-11-17,97,False
2013-11-24,80,False
2013-12-01,95,False
2013-12-08,94,False
2013-12-15,85,False
2013-12-22,74,False
2013-12-29,83,False
