geoName,protect
Alabama,85
Alaska,87
Arizona,80
Arkansas,86
California,80
Colorado,82
Connecticut,78
Delaware,75
District of Columbia,83
Florida,80
Georgia,75
Hawaii,83
Idaho,90
Illinois,75
Indiana,89
Iowa,82
Kansas,70
Kentucky,74
Louisiana,73
Maine,91
Maryland,98
Massachusetts,75
Michigan,78
Minnesota,74
Mississippi,75
Missouri,81
Montana,100
Nebraska,79
Nevada,76
New Hampshire,86
New Jersey,84
New Mexico,97
New York,72
North Carolina,91
North Dakota,85
Ohio,82
Oklahoma,81
Oregon,53
Pennsylvania,79
Rhode Island,75
South Carolina,83
South Dakota,91
Tennessee,73
Texas,76
Utah,94
Vermont,83
Virginia,71
Washington,75
West Virginia,73
Wisconsin,84
Wyoming,82
