date,protect,isPartial
2015-01-04,88,False
2015-01-11,87,False
2015-01-18,85,False
2015-01-25,85,False
2015-02-01,93,False
2015-02-08,87,False
2015-02-15,85,False
2015-02-22,92,False
2015-03-01,90,False
2015-03-08,90,False
2015-03-15,85,False
2015-03-22,89,False
2015-03-29,89,False
2015-04-05,84,False
2015-04-12,94,False
2015-04-19,97,False
2015-04-26,97,False
2015-05-03,97,False
2015-05-10,95,False
2015-05-17,95,False
2015-05-24,83,False
2015-05-31,89,False
2015-06-07,82,False
2015-06-14,82,False
2015-06-21,82,False
2015-06-28,79,False
2015-07-05,80,False
2015-07-12,79,False
2015-07-19,82,False
2015-07-26,85,False
2015-08-02,79,False
2015-08-09,81,False
2015-08-16,78,False
2015-08-23,83,False
2015-08-30,86,False
2015-09-06,83,False
2015-09-13,88,False
2015-09-20,86,False
2015-09-27,97,False
2015-10-04,94,False
2015-10-11,91,False
2015-10-18,93,False
2015-10-25,91,False
2015-11-01,90,False
2015-11-08,89,False
2015-11-15,98,False
2015-11-22,79,False
2015-11-29,100,False
2015-12-06,96,False
2015-12-13,85,False
2015-12-20,68,False
2015-12-27,69,False
