geoName,protect
Alabama,86
Alaska,75
Arizona,87
Arkansas,84
California,78
Colorado,78
Connecticut,82
Delaware,83
District of Columbia,82
Florida,80
Georgia,73
Hawaii,84
Idaho,94
Illinois,71
Indiana,80
Iowa,83
Kansas,84
Kentucky,80
Louisiana,79
Maine,87
Maryland,87
Massachusetts,72
Michigan,82
Minnesota,72
Mississippi,66
Missouri,72
Montana,80
Nebraska,75
Nevada,82
New Hampshire,92
New Jersey,82
New Mexico,100
New York,75
North Carolina,84
North Dakota,82
Ohio,79
Oklahoma,78
Oregon,63
Pennsylvania,79
Rhode Island,82
South Carolina,98
South Dakota,91
Tennessee,74
Texas,77
Utah,94
Vermont,83
Virginia,85
Washington,79
West Virginia,90
Wisconsin,79
Wyoming,75
