date,protect,isPartial
2011-01-02,62,False
2011-01-09,60,False
2011-01-16,60,False
2011-01-23,68,False
2011-01-30,68,False
2011-02-06,64,False
2011-02-13,69,False
2011-02-20,69,False
2011-02-27,69,False
2011-03-06,71,False
2011-03-13,75,False
2011-03-20,68,False
2011-03-27,74,False
2011-04-03,74,False
2011-04-10,74,False
2011-04-17,73,False
2011-04-24,74,False
2011-05-01,75,False
2011-05-08,75,False
2011-05-15,71,False
2011-05-22,72,False
2011-05-29,69,False
2011-06-05,69,False
2011-06-12,66,False
2011-06-19,62,False
2011-06-26,62,False
2011-07-03,58,False
2011-07-10,63,False
2011-07-17,64,False
2011-07-24,60,False
2011-07-31,66,False
2011-08-07,65,False
2011-08-14,68,False
2011-08-21,72,False
2011-08-28,69,False
2011-09-04,70,False
2011-09-11,67,False
2011-09-18,71,False
2011-09-25,72,False
2011-10-02,70,False
2011-10-09,75,False
2011-10-16,73,False
2011-10-23,72,False
2011-10-30,73,False
2011-11-06,75,False
2011-11-13,100,False
2011-11-20,66,False
2011-11-27,75,False
2011-12-04,77,False
2011-12-11,71,False
2011-12-18,62,False
2011-12-25,55,False
