geoName,protect
Alabama,79
Alaska,80
Arizona,79
Arkansas,81
California,80
Colorado,73
Connecticut,72
Delaware,69
District of Columbia,78
Florida,79
Georgia,75
Hawaii,100
Idaho,96
Illinois,69
Indiana,79
Iowa,75
Kansas,92
Kentucky,72
Louisiana,76
Maine,85
Maryland,90
Massachusetts,76
Michigan,79
Minnesota,72
Mississippi,61
Missouri,74
Montana,88
Nebraska,70
Nevada,83
New Hampshire,85
New Jersey,89
New Mexico,94
New York,71
North Carolina,75
North Dakota,75
Ohio,78
Oklahoma,87
Oregon,77
Pennsylvania,79
Rhode Island,82
South Carolina,78
South Dakota,89
Tennessee,75
Texas,70
Utah,86
Vermont,83
Virginia,91
Washington,76
West Virginia,80
Wisconsin,80
Wyoming,78
