geoName,protect
Alabama,80
Alaska,63
Arizona,77
Arkansas,80
California,75
Colorado,73
Connecticut,85
Delaware,86
District of Columbia,69
Florida,78
Georgia,68
Hawaii,84
Idaho,84
Illinois,63
Indiana,85
Iowa,76
Kansas,77
Kentucky,80
Louisiana,66
Maine,83
Maryland,84
Massachusetts,72
Michigan,75
Minnesota,71
Mississippi,65
Missouri,73
Montana,81
Nebraska,63
Nevada,81
New Hampshire,80
New Jersey,80
New Mexico,71
New York,70
North Carolina,84
North Dakota,75
Ohio,75
Oklahoma,82
Oregon,77
Pennsylvania,76
Rhode Island,86
South Carolina,93
South Dakota,100
Tennessee,73
Texas,68
Utah,87
Vermont,71
Virginia,87
Washington,74
West Virginia,81
Wisconsin,70
Wyoming,69
