date,protect,isPartial
2012-01-01,84,False
2012-01-08,86,False
2012-01-15,100,False
2012-01-22,85,False
2012-01-29,90,False
2012-02-05,87,False
2012-02-12,84,False
2012-02-19,87,False
2012-02-26,95,False
2012-03-04,87,False
2012-03-11,80,False
2012-03-18,89,False
2012-03-25,95,False
2012-04-01,91,False
2012-04-08,99,False
2012-04-15,94,False
2012-04-22,93,False
2012-04-29,94,False
2012-05-06,96,False
2012-05-13,91,False
2012-05-20,88,False
2012-05-27,88,False
2012-06-03,86,False
2012-06-10,82,False
2012-06-17,85,False
2012-06-24,82,False
2012-07-01,81,False
2012-07-08,84,False
2012-07-15,79,False
2012-07-22,82,False
2012-07-29,83,False
2012-08-05,77,False
2012-08-12,79,False
2012-08-19,77,False
2012-08-26,83,False
2012-09-02,81,False
2012-09-09,87,False
2012-09-16,90,False
2012-09-23,85,False
2012-09-30,86,False
2012-10-07,87,False
2012-10-14,89,False
2012-10-21,84,False
2012-10-28,86,False
2012-11-04,87,False
2012-11-11,93,False
2012-11-18,75,False
2012-11-25,89,False
2012-12-02,92,False
2012-12-09,88,False
2012-12-16,90,False
2012-12-23,73,False
2012-12-30,76,False
