geoName,protect
Alabama,75
Alaska,85
Arizona,86
Arkansas,76
California,80
Colorado,79
Connecticut,80
Delaware,77
District of Columbia,73
Florida,82
Georgia,80
Hawaii,85
Idaho,89
Illinois,75
Indiana,81
Iowa,78
Kansas,82
Kentucky,81
Louisiana,79
Maine,80
Maryland,91
Massachusetts,77
Michigan,77
Minnesota,76
Mississippi,76
Missouri,82
Montana,70
Nebraska,70
Nevada,81
New Hampshire,82
New Jersey,79
New Mexico,76
New York,77
North Carolina,83
North Dakota,83
Ohio,79
Oklahoma,83
Oregon,81
Pennsylvania,75
Rhode Island,68
South Carolina,85
South Dakota,100
Tennessee,72
Texas,72
Utah,88
Vermont,84
Virginia,90
Washington,75
West Virginia,80
Wisconsin,79
Wyoming,74
