geoName,nothing
Alabama,94
Alaska,73
Arizona,90
Arkansas,83
California,83
Colorado,75
Connecticut,70
Delaware,74
District of Columbia,72
Florida,69
Georgia,84
Hawaii,67
Idaho,67
Illinois,79
Indiana,75
Iowa,75
Kansas,77
Kentucky,75
Louisiana,96
Maine,73
Maryland,70
Massachusetts,71
Michigan,70
Minnesota,85
Mississippi,94
Missouri,74
Montana,67
Nebraska,83
Nevada,90
New Hampshire,67
New Jersey,72
New Mexico,73
New York,66
North Carolina,86
North Dakota,64
Ohio,76
Oklahoma,86
Oregon,69
Pennsylvania,70
Rhode Island,71
South Carolina,77
South Dakota,60
Tennessee,90
Texas,100
Utah,73
Vermont,67
Virginia,75
Washington,72
West Virginia,75
Wisconsin,66
Wyoming,70
