geoName,nothing
Alabama,95
Alaska,77
Arizona,88
Arkansas,90
California,82
Colorado,81
Connecticut,73
Delaware,75
District of Columbia,76
Florida,74
Georgia,85
Hawaii,78
Idaho,77
Illinois,78
Indiana,78
Iowa,75
Kansas,73
Kentucky,83
Louisiana,98
Maine,79
Maryland,79
Massachusetts,75
Michigan,77
Minnesota,76
Mississippi,92
Missouri,80
Montana,68
Nebraska,92
Nevada,98
New Hampshire,73
New Jersey,75
New Mexico,79
New York,76
North Carolina,91
North Dakota,60
Ohio,77
Oklahoma,86
Oregon,59
Pennsylvania,79
Rhode Island,72
South Carolina,91
South Dakota,72
Tennessee,85
Texas,100
Utah,74
Vermont,69
Virginia,60
Washington,78
West Virginia,85
Wisconsin,69
Wyoming,70
