date,nothing,isPartial
2013-01-06,28,False
2013-01-13,28,False
2013-01-20,30,False
2013-01-27,34,False
2013-02-03,31,False
2013-02-10,32,False
2013-02-17,30,False
2013-02-24,30,False
2013-03-03,31,False
2013-03-10,31,False
2013-03-17,31,False
2013-03-24,29,False
2013-03-31,28,False
2013-04-07,31,False
2013-04-14,29,False
2013-04-21,30,False
2013-04-28,30,False
2013-05-05,30,False
2013-05-12,31,False
2013-05-19,29,False
2013-05-26,31,False
2013-06-02,32,False
2013-06-09,32,False
2013-06-16,32,False
2013-06-23,31,False
2013-06-30,31,False
2013-07-07,28,False
2013-07-14,29,False
2013-07-21,28,False
2013-07-28,30,False
2013-08-04,29,False
2013-08-11,28,False
2013-08-18,30,False
2013-08-25,29,False
2013-09-01,30,False
2013-09-08,35,False
2013-09-15,100,False
2013-09-22,63,False
2013-09-29,45,False
2013-10-06,38,False
2013-10-13,36,False
2013-10-20,33,False
2013-10-27,33,False
2013-11-03,33,False
2013-11-10,31,False
2013-11-17,32,False
2013-11-24,30,False
2013-12-01,29,False
2013-12-08,30,False
2013-12-15,31,False
2013-12-22,30,False
2013-12-29,29,False
