date,nothing,isPartial
2015-01-04,77,False
2015-01-11,82,False
2015-01-18,84,False
2015-01-25,80,False
2015-02-01,78,False
2015-02-08,82,False
2015-02-15,77,False
2015-02-22,81,False
2015-03-01,84,False
2015-03-08,84,False
2015-03-15,83,False
2015-03-22,84,False
2015-03-29,100,False
2015-04-05,88,False
2015-04-12,86,False
2015-04-19,87,False
2015-04-26,83,False
2015-05-03,87,False
2015-05-10,85,False
2015-05-17,83,False
2015-05-24,85,False
2015-05-31,77,False
2015-06-07,78,False
2015-06-14,78,False
2015-06-21,80,False
2015-06-28,78,False
2015-07-05,77,False
2015-07-12,83,False
2015-07-19,79,False
2015-07-26,83,False
2015-08-02,85,False
2015-08-09,81,False
2015-08-16,82,False
2015-08-23,80,False
2015-08-30,83,False
2015-09-06,85,False
2015-09-13,82,False
2015-09-20,84,False
2015-09-27,86,False
2015-10-04,85,False
2015-10-11,82,False
2015-10-18,79,False
2015-10-25,78,False
2015-11-01,80,False
2015-11-08,82,False
2015-11-15,82,False
2015-11-22,77,False
2015-11-29,80,False
2015-12-06,87,False
2015-12-13,81,False
2015-12-20,78,False
2015-12-27,78,False
