date,nothing,isPartial
2012-01-01,88,False
2012-01-08,90,False
2012-01-15,85,False
2012-01-22,90,False
2012-01-29,91,False
2012-02-05,92,False
2012-02-12,100,False
2012-02-19,91,False
2012-02-26,91,False
2012-03-04,97,False
2012-03-11,86,False
2012-03-18,82,False
2012-03-25,88,False
2012-04-01,89,False
2012-04-08,83,False
2012-04-15,90,False
2012-04-22,90,False
2012-04-29,85,False
2012-05-06,92,False
2012-05-13,87,False
2012-05-20,91,False
2012-05-27,87,False
2012-06-03,84,False
2012-06-10,90,False
2012-06-17,89,False
2012-06-24,86,False
2012-07-01,86,False
2012-07-08,81,False
2012-07-15,80,False
2012-07-22,86,False
2012-07-29,79,False
2012-08-05,84,False
2012-08-12,82,False
2012-08-19,88,False
2012-08-26,86,False
2012-09-02,86,False
2012-09-09,94,False
2012-09-16,94,False
2012-09-23,91,False
2012-09-30,89,False
2012-10-07,88,False
2012-10-14,87,False
2012-10-21,86,False
2012-10-28,86,False
2012-11-04,86,False
2012-11-11,93,False
2012-11-18,88,False
2012-11-25,91,False
2012-12-02,92,False
2012-12-09,92,False
2012-12-16,95,False
2012-12-23,95,False
2012-12-30,98,False
