geoName,nothing
Alabama,97
Alaska,69
Arizona,83
Arkansas,84
California,86
Colorado,74
Connecticut,80
Delaware,80
District of Columbia,70
Florida,81
Georgia,80
Hawaii,76
Idaho,77
Illinois,76
Indiana,82
Iowa,71
Kansas,79
Kentucky,84
Louisiana,84
Maine,80
Maryland,81
Massachusetts,78
Michigan,79
Minnesota,67
Mississippi,94
Missouri,72
Montana,72
Nebraska,80
Nevada,100
New Hampshire,80
New Jersey,82
New Mexico,78
New York,83
North Carolina,80
North Dakota,75
Ohio,78
Oklahoma,83
Oregon,76
Pennsylvania,82
Rhode Island,84
South Carolina,78
South Dakota,74
Tennessee,83
Texas,89
Utah,78
Vermont,85
Virginia,81
Washington,76
West Virginia,93
Wisconsin,69
Wyoming,59
