geoName,nothing
Alabama,94
Alaska,66
Arizona,79
Arkansas,79
California,82
Colorado,71
Connecticut,81
Delaware,83
District of Columbia,75
Florida,79
Georgia,88
Hawaii,67
Idaho,70
Illinois,77
Indiana,75
Iowa,68
Kansas,72
Kentucky,88
Louisiana,90
Maine,73
Maryland,81
Massachusetts,78
Michigan,80
Minnesota,70
Mississippi,89
Missouri,74
Montana,55
Nebraska,79
Nevada,100
New Hampshire,73
New Jersey,84
New Mexico,72
New York,88
North Carolina,84
North Dakota,59
Ohio,76
Oklahoma,85
Oregon,55
Pennsylvania,80
Rhode Island,87
South Carolina,80
South Dakota,61
Tennessee,83
Texas,97
Utah,75
Vermont,75
Virginia,84
Washington,69
West Virginia,80
Wisconsin,67
Wyoming,67
