geoName,nothing
Alabama,92
Alaska,66
Arizona,76
Arkansas,77
California,78
Colorado,69
Connecticut,76
Delaware,82
District of Columbia,67
Florida,72
Georgia,76
Hawaii,69
Idaho,71
Illinois,71
Indiana,81
Iowa,68
Kansas,82
Kentucky,81
Louisiana,80
Maine,95
Maryland,77
Massachusetts,81
Michigan,74
Minnesota,66
Mississippi,69
Missouri,71
Montana,72
Nebraska,76
Nevada,100
New Hampshire,83
New Jersey,81
New Mexico,85
New York,83
North Carolina,80
North Dakota,81
Ohio,78
Oklahoma,74
Oregon,67
Pennsylvania,80
Rhode Island,93
South Carolina,85
South Dakota,70
Tennessee,73
Texas,75
Utah,80
Vermont,81
Virginia,77
Washington,70
West Virginia,91
Wisconsin,73
Wyoming,78
