date,nothing,isPartial
2011-01-02,81,False
2011-01-09,92,False
2011-01-16,91,False
2011-01-23,92,False
2011-01-30,85,False
2011-02-06,82,False
2011-02-13,88,False
2011-02-20,83,False
2011-02-27,85,False
2011-03-06,81,False
2011-03-13,75,False
2011-03-20,84,False
2011-03-27,85,False
2011-04-03,80,False
2011-04-10,78,False
2011-04-17,81,False
2011-04-24,79,False
2011-05-01,76,False
2011-05-08,100,False
2011-05-15,87,False
2011-05-22,83,False
2011-05-29,82,False
2011-06-05,79,False
2011-06-12,79,False
2011-06-19,73,False
2011-06-26,75,False
2011-07-03,76,False
2011-07-10,78,False
2011-07-17,78,False
2011-07-24,76,False
2011-07-31,78,False
2011-08-07,80,False
2011-08-14,81,False
2011-08-21,84,False
2011-08-28,85,False
2011-09-04,90,False
2011-09-11,85,False
2011-09-18,86,False
2011-09-25,91,False
2011-10-02,87,False
2011-10-09,89,False
2011-10-16,91,False
2011-10-23,88,False
2011-10-30,86,False
2011-11-06,86,False
2011-11-13,83,False
2011-11-20,84,False
2011-11-27,81,False
2011-12-04,84,False
2011-12-11,82,False
2011-12-18,76,False
2011-12-25,73,False
