geoName,nothing
Alabama,93
Alaska,66
Arizona,88
Arkansas,88
California,82
Colorado,76
Connecticut,69
Delaware,78
District of Columbia,71
Florida,76
Georgia,94
Hawaii,74
Idaho,71
Illinois,77
Indiana,75
Iowa,78
Kansas,77
Kentucky,79
Louisiana,96
Maine,76
Maryland,75
Massachusetts,75
Michigan,76
Minnesota,76
Mississippi,100
Missouri,76
Montana,70
Nebraska,84
Nevada,93
New Hampshire,74
New Jersey,76
New Mexico,71
New York,77
North Carolina,90
North Dakota,63
Ohio,74
Oklahoma,88
Oregon,49
Pennsylvania,74
Rhode Island,77
South Carolina,82
South Dakota,62
Tennessee,87
Texas,97
Utah,72
Vermont,78
Virginia,65
Washington,70
West Virginia,86
Wisconsin,69
Wyoming,60
