date,progress,isPartial
2014-01-05,78,False
2014-01-12,90,False
2014-01-19,80,False
2014-01-26,84,False
2014-02-02,86,False
2014-02-09,94,False
2014-02-16,90,False
2014-02-23,95,False
2014-03-02,91,False
2014-03-09,91,False
2014-03-16,93,False
2014-03-23,74,False
2014-03-30,88,False
2014-04-06,83,False
2014-04-13,79,False
2014-04-20,90,False
2014-04-27,93,False
2014-05-04,82,False
2014-05-11,89,False
2014-05-18,87,False
2014-05-25,84,False
2014-06-01,79,False
2014-06-08,66,False
2014-06-15,62,False
2014-06-22,58,False
2014-06-29,54,False
2014-07-06,57,False
2014-07-13,60,False
2014-07-20,60,False
2014-07-27,62,False
2014-08-03,65,False
2014-08-10,67,False
2014-08-17,75,False
2014-08-24,84,False
2014-08-31,81,False
2014-09-07,88,False
2014-09-14,100,False
2014-09-21,99,False
2014-09-28,98,False
2014-10-05,98,False
2014-10-12,95,False
2014-10-19,100,False
2014-10-26,88,False
2014-11-02,91,False
2014-11-09,88,False
2014-11-16,93,False
2014-11-23,65,False
2014-11-30,91,False
2014-12-07,94,False
2014-12-14,92,False
2014-12-21,53,False
2014-12-28,59,False
