geoName,progress
Alabama,11
Alaska,10
Arizona,9
Arkansas,9
California,10
Colorado,9
Connecticut,13
Delaware,9
District of Columbia,16
Florida,47
Georgia,12
Hawaii,8
Idaho,10
Illinois,10
Indiana,10
Iowa,11
Kansas,8
Kentucky,10
Louisiana,19
Maine,10
Maryland,12
Massachusetts,11
Michigan,12
Minnesota,9
Mississippi,12
Missouri,12
Montana,8
Nebraska,8
Nevada,10
New Hampshire,12
New Jersey,11
New Mexico,8
New York,10
North Carolina,35
North Dakota,10
Ohio,100
Oklahoma,11
Oregon,18
Pennsylvania,17
Rhode Island,10
South Carolina,15
South Dakota,8
Tennessee,11
Texas,9
Utah,12
Vermont,13
Virginia,26
Washington,10
West Virginia,10
Wisconsin,9
Wyoming,9
