geoName,progress
Alabama,18
Alaska,11
Arizona,13
Arkansas,12
California,13
Colorado,14
Connecticut,18
Delaware,15
District of Columbia,35
Florida,71
Georgia,20
Hawaii,12
Idaho,16
Illinois,17
Indiana,16
Iowa,16
Kansas,14
Kentucky,18
Louisiana,15
Maine,14
Maryland,19
Massachusetts,15
Michigan,16
Minnesota,16
Mississippi,18
Missouri,16
Montana,14
Nebraska,15
Nevada,14
New Hampshire,19
New Jersey,16
New Mexico,16
New York,14
North Carolina,69
North Dakota,16
Ohio,100
Oklahoma,17
Oregon,16
Pennsylvania,22
Rhode Island,18
South Carolina,28
South Dakota,13
Tennessee,18
Texas,13
Utah,21
Vermont,20
Virginia,42
Washington,15
West Virginia,16
Wisconsin,17
Wyoming,12
