date,progress,isPartial
2015-01-04,73,False
2015-01-11,79,False
2015-01-18,73,False
2015-01-25,77,False
2015-02-01,75,False
2015-02-08,79,False
2015-02-15,74,False
2015-02-22,79,False
2015-03-01,76,False
2015-03-08,86,False
2015-03-15,86,False
2015-03-22,72,False
2015-03-29,72,False
2015-04-05,74,False
2015-04-12,74,False
2015-04-19,82,False
2015-04-26,84,False
2015-05-03,82,False
2015-05-10,78,False
2015-05-17,76,False
2015-05-24,75,False
2015-05-31,65,False
2015-06-07,53,False
2015-06-14,54,False
2015-06-21,54,False
2015-06-28,50,False
2015-07-05,53,False
2015-07-12,56,False
2015-07-19,53,False
2015-07-26,56,False
2015-08-02,56,False
2015-08-09,57,False
2015-08-16,67,False
2015-08-23,78,False
2015-08-30,87,False
2015-09-06,82,False
2015-09-13,100,False
2015-09-20,95,False
2015-09-27,94,False
2015-10-04,92,False
2015-10-11,88,False
2015-10-18,96,False
2015-10-25,87,False
2015-11-01,90,False
2015-11-08,85,False
2015-11-15,88,False
2015-11-22,56,False
2015-11-29,88,False
2015-12-06,88,False
2015-12-13,88,False
2015-12-20,50,False
2015-12-27,47,False
