date,progress,isPartial
2016-01-03,80,False
2016-01-10,80,False
2016-01-17,77,False
2016-01-24,84,False
2016-01-31,84,False
2016-02-07,73,False
2016-02-14,79,False
2016-02-21,88,False
2016-02-28,80,False
2016-03-06,82,False
2016-03-13,84,False
2016-03-20,63,False
2016-03-27,69,False
2016-04-03,77,False
2016-04-10,74,False
2016-04-17,80,False
2016-04-24,77,False
2016-05-01,75,False
2016-05-08,76,False
2016-05-15,77,False
2016-05-22,74,False
2016-05-29,57,False
2016-06-05,55,False
2016-06-12,47,False
2016-06-19,46,False
2016-06-26,45,False
2016-07-03,44,False
2016-07-10,48,False
2016-07-17,47,False
2016-07-24,53,False
2016-07-31,56,False
2016-08-07,50,False
2016-08-14,63,False
2016-08-21,76,False
2016-08-28,84,False
2016-09-04,77,False
2016-09-11,93,False
2016-09-18,87,False
2016-09-25,89,False
2016-10-02,87,False
2016-10-09,100,False
2016-10-16,90,False
2016-10-23,86,False
2016-10-30,82,False
2016-11-06,81,False
2016-11-13,88,False
2016-11-20,57,False
2016-11-27,77,False
2016-12-04,83,False
2016-12-11,84,False
2016-12-18,57,False
2016-12-25,44,False
