geoName,progress
Alabama,12
Alaska,11
Arizona,9
Arkansas,11
California,10
Colorado,10
Connecticut,14
Delaware,11
District of Columbia,15
Florida,50
Georgia,13
Hawaii,8
Idaho,12
Illinois,11
Indiana,12
Iowa,12
Kansas,9
Kentucky,12
Louisiana,18
Maine,11
Maryland,12
Massachusetts,12
Michigan,15
Minnesota,11
Mississippi,12
Missouri,13
Montana,11
Nebraska,9
Nevada,10
New Hampshire,12
New Jersey,12
New Mexico,10
New York,11
North Carolina,38
North Dakota,11
Ohio,100
Oklahoma,16
Oregon,15
Pennsylvania,19
Rhode Island,12
South Carolina,16
South Dakota,7
Tennessee,11
Texas,10
Utah,15
Vermont,15
Virginia,17
Washington,11
West Virginia,12
Wisconsin,11
Wyoming,10
