geoName,progress
Alabama,20
Alaska,16
Arizona,12
Arkansas,14
California,14
Colorado,13
Connecticut,19
Delaware,15
District of Columbia,29
Florida,67
Georgia,18
Hawaii,11
Idaho,16
Illinois,16
Indiana,17
Iowa,18
Kansas,15
Kentucky,16
Louisiana,20
Maine,16
Maryland,19
Massachusetts,16
Michigan,18
Minnesota,14
Mississippi,18
Missouri,17
Montana,14
Nebraska,15
Nevada,13
New Hampshire,17
New Jersey,16
New Mexico,15
New York,15
North Carolina,61
North Dakota,14
Ohio,100
Oklahoma,20
Oregon,17
Pennsylvania,24
Rhode Island,16
South Carolina,26
South Dakota,12
Tennessee,15
Texas,13
Utah,21
Vermont,19
Virginia,28
Washington,15
West Virginia,15
Wisconsin,16
Wyoming,16
