geoName,cruel
Alabama,65
Alaska,83
Arizona,56
Arkansas,68
California,68
Colorado,67
Connecticut,72
Delaware,53
District of Columbia,56
Florida,62
Georgia,53
Hawaii,54
Idaho,65
Illinois,65
Indiana,60
Iowa,62
Kansas,58
Kentucky,61
Louisiana,66
Maine,71
Maryland,64
Massachusetts,68
Michigan,64
Minnesota,53
Mississippi,68
Missouri,60
Montana,100
Nebraska,72
Nevada,74
New Hampshire,62
New Jersey,69
New Mexico,72
New York,68
North Carolina,60
North Dakota,75
Ohio,58
Oklahoma,62
Oregon,58
Pennsylvania,67
Rhode Island,77
South Carolina,63
South Dakota,60
Tennessee,75
Texas,69
Utah,57
Vermont,67
Virginia,71
Washington,67
West Virginia,77
Wisconsin,58
Wyoming,91
