geoName,cruel
Alabama,62
Alaska,100
Arizona,60
Arkansas,67
California,68
Colorado,59
Connecticut,61
Delaware,83
District of Columbia,56
Florida,55
Georgia,60
Hawaii,79
Idaho,46
Illinois,56
Indiana,61
Iowa,61
Kansas,56
Kentucky,62
Louisiana,59
Maine,65
Maryland,65
Massachusetts,64
Michigan,57
Minnesota,57
Mississippi,62
Missouri,59
Montana,61
Nebraska,53
Nevada,54
New Hampshire,58
New Jersey,69
New Mexico,74
New York,71
North Carolina,54
North Dakota,45
Ohio,57
Oklahoma,59
Oregon,59
Pennsylvania,59
Rhode Island,70
South Carolina,56
South Dakota,56
Tennessee,58
Texas,61
Utah,46
Vermont,69
Virginia,61
Washington,58
West Virginia,72
Wisconsin,60
Wyoming,78
