date,cruel,isPartial
2013-01-06,91,False
2013-01-13,85,False
2013-01-20,78,False
2013-01-27,84,False
2013-02-03,93,False
2013-02-10,89,False
2013-02-17,77,False
2013-02-24,86,False
2013-03-03,82,False
2013-03-10,91,False
2013-03-17,88,False
2013-03-24,78,False
2013-03-31,82,False
2013-04-07,85,False
2013-04-14,92,False
2013-04-21,100,False
2013-04-28,95,False
2013-05-05,86,False
2013-05-12,68,False
2013-05-19,80,False
2013-05-26,75,False
2013-06-02,76,False
2013-06-09,76,False
2013-06-16,84,False
2013-06-23,69,False
2013-06-30,71,False
2013-07-07,71,False
2013-07-14,67,False
2013-07-21,69,False
2013-07-28,70,False
2013-08-04,65,False
2013-08-11,66,False
2013-08-18,71,False
2013-08-25,68,False
2013-09-01,70,False
2013-09-08,79,False
2013-09-15,83,False
2013-09-22,80,False
2013-09-29,77,False
2013-10-06,79,False
2013-10-13,78,False
2013-10-20,74,False
2013-10-27,77,False
2013-11-03,83,False
2013-11-10,82,False
2013-11-17,87,False
2013-11-24,90,False
2013-12-01,85,False
2013-12-08,87,False
2013-12-15,77,False
2013-12-22,69,False
2013-12-29,65,False
