geoName,cruel
Alabama,64
Alaska,59
Arizona,66
Arkansas,57
California,75
Colorado,59
Connecticut,75
Delaware,100
District of Columbia,67
Florida,74
Georgia,82
Hawaii,68
Idaho,51
Illinois,75
Indiana,74
Iowa,58
Kansas,62
Kentucky,69
Louisiana,74
Maine,66
Maryland,92
Massachusetts,71
Michigan,72
Minnesota,64
Mississippi,67
Missouri,67
Montana,83
Nebraska,55
Nevada,75
New Hampshire,67
New Jersey,83
New Mexico,63
New York,90
North Carolina,73
North Dakota,71
Ohio,72
Oklahoma,61
Oregon,64
Pennsylvania,83
Rhode Island,88
South Carolina,67
South Dakota,50
Tennessee,49
Texas,67
Utah,53
Vermont,44
Virginia,80
Washington,62
West Virginia,85
Wisconsin,68
Wyoming,95
