date,cruel,isPartial
2012-01-01,9,False
2012-01-08,8,False
2012-01-15,8,False
2012-01-22,8,False
2012-01-29,9,False
2012-02-05,9,False
2012-02-12,9,False
2012-02-19,8,False
2012-02-26,8,False
2012-03-04,10,False
2012-03-11,9,False
2012-03-18,8,False
2012-03-25,9,False
2012-04-01,8,False
2012-04-08,8,False
2012-04-15,10,False
2012-04-22,8,False
2012-04-29,9,False
2012-05-06,12,False
2012-05-13,11,False
2012-05-20,13,False
2012-05-27,13,False
2012-06-03,11,False
2012-06-10,10,False
2012-06-17,10,False
2012-06-24,10,False
2012-07-01,14,False
2012-07-08,13,False
2012-07-15,13,False
2012-07-22,10,False
2012-07-29,13,False
2012-08-05,14,False
2012-08-12,12,False
2012-08-19,11,False
2012-08-26,13,False
2012-09-02,23,False
2012-09-09,68,False
2012-09-16,100,False
2012-09-23,38,False
2012-09-30,25,False
2012-10-07,18,False
2012-10-14,15,False
2012-10-21,14,False
2012-10-28,13,False
2012-11-04,12,False
2012-11-11,12,False
2012-11-18,14,False
2012-11-25,11,False
2012-12-02,13,False
2012-12-09,12,False
2012-12-16,10,False
2012-12-23,10,False
2012-12-30,10,False
