geoName,cruel
Alabama,59
Alaska,56
Arizona,63
Arkansas,70
California,69
Colorado,58
Connecticut,64
Delaware,64
District of Columbia,50
Florida,60
Georgia,57
Hawaii,54
Idaho,56
Illinois,62
Indiana,63
Iowa,45
Kansas,64
Kentucky,64
Louisiana,66
Maine,76
Maryland,62
Massachusetts,65
Michigan,65
Minnesota,62
Mississippi,59
Missouri,59
Montana,61
Nebraska,51
Nevada,66
New Hampshire,70
New Jersey,67
New Mexico,81
New York,73
North Carolina,57
North Dakota,55
Ohio,60
Oklahoma,60
Oregon,72
Pennsylvania,65
Rhode Island,76
South Carolina,61
South Dakota,88
Tennessee,63
Texas,63
Utah,39
Vermont,54
Virginia,61
Washington,58
West Virginia,71
Wisconsin,47
Wyoming,100
