geoName,cruel
Alabama,73
Alaska,88
Arizona,72
Arkansas,79
California,80
Colorado,77
Connecticut,89
Delaware,69
District of Columbia,67
Florida,78
Georgia,71
Hawaii,90
Idaho,90
Illinois,67
Indiana,81
Iowa,70
Kansas,64
Kentucky,87
Louisiana,78
Maine,100
Maryland,77
Massachusetts,76
Michigan,72
Minnesota,75
Mississippi,67
Missouri,69
Montana,71
Nebraska,66
Nevada,81
New Hampshire,81
New Jersey,77
New Mexico,85
New York,83
North Carolina,65
North Dakota,65
Ohio,77
Oklahoma,61
Oregon,74
Pennsylvania,84
Rhode Island,84
South Carolina,76
South Dakota,74
Tennessee,69
Texas,72
Utah,75
Vermont,65
Virginia,72
Washington,75
West Virginia,65
Wisconsin,62
Wyoming,93
