date,cruel,isPartial
2016-01-03,47,False
2016-01-10,46,False
2016-01-17,56,False
2016-01-24,54,False
2016-01-31,66,False
2016-02-07,68,False
2016-02-14,76,False
2016-02-21,82,False
2016-02-28,76,False
2016-03-06,65,False
2016-03-13,57,False
2016-03-20,58,False
2016-03-27,55,False
2016-04-03,53,False
2016-04-10,59,False
2016-04-17,53,False
2016-04-24,51,False
2016-05-01,48,False
2016-05-08,59,False
2016-05-15,51,False
2016-05-22,52,False
2016-05-29,100,False
2016-06-05,82,False
2016-06-12,52,False
2016-06-19,50,False
2016-06-26,56,False
2016-07-03,48,False
2016-07-10,55,False
2016-07-17,52,False
2016-07-24,44,False
2016-07-31,48,False
2016-08-07,45,False
2016-08-14,46,False
2016-08-21,48,False
2016-08-28,47,False
2016-09-04,53,False
2016-09-11,46,False
2016-09-18,58,False
2016-09-25,53,False
2016-10-02,44,False
2016-10-09,45,False
2016-10-16,50,False
2016-10-23,53,False
2016-10-30,50,False
2016-11-06,48,False
2016-11-13,55,False
2016-11-20,44,False
2016-11-27,52,False
2016-12-04,54,False
2016-12-11,56,False
2016-12-18,48,False
2016-12-25,40,False
