geoName,uncomfortable
Alabama,47
Alaska,77
Arizona,73
Arkansas,61
California,72
Colorado,58
Connecticut,83
Delaware,100
District of Columbia,72
Florida,70
Georgia,59
Hawaii,81
Idaho,74
Illinois,72
Indiana,75
Iowa,70
Kansas,62
Kentucky,64
Louisiana,64
Maine,64
Maryland,67
Massachusetts,79
Michigan,73
Minnesota,66
Mississippi,80
Missouri,79
Montana,49
Nebraska,64
Nevada,76
New Hampshire,76
New Jersey,77
New Mexico,57
New York,75
North Carolina,66
North Dakota,58
Ohio,67
Oklahoma,74
Oregon,41
Pennsylvania,69
Rhode Island,77
South Carolina,75
South Dakota,72
Tennessee,71
Texas,73
Utah,57
Vermont,75
Virginia,57
Washington,70
West Virginia,67
Wisconsin,67
Wyoming,37
