date,uncomfortable,isPartial
2013-01-06,66,False
2013-01-13,81,False
2013-01-20,82,False
2013-01-27,81,False
2013-02-03,79,False
2013-02-10,82,False
2013-02-17,84,False
2013-02-24,88,False
2013-03-03,70,False
2013-03-10,71,False
2013-03-17,67,False
2013-03-24,94,False
2013-03-31,79,False
2013-04-07,92,False
2013-04-14,82,False
2013-04-21,83,False
2013-04-28,73,False
2013-05-05,77,False
2013-05-12,78,False
2013-05-19,78,False
2013-05-26,91,False
2013-06-02,83,False
2013-06-09,78,False
2013-06-16,86,False
2013-06-23,90,False
2013-06-30,88,False
2013-07-07,73,False
2013-07-14,85,False
2013-07-21,89,False
2013-07-28,84,False
2013-08-04,87,False
2013-08-11,83,False
2013-08-18,97,False
2013-08-25,85,False
2013-09-01,78,False
2013-09-08,78,False
2013-09-15,85,False
2013-09-22,78,False
2013-09-29,80,False
2013-10-06,82,False
2013-10-13,77,False
2013-10-20,78,False
2013-10-27,79,False
2013-11-03,100,False
2013-11-10,83,False
2013-11-17,94,False
2013-11-24,77,False
2013-12-01,87,False
2013-12-08,91,False
2013-12-15,82,False
2013-12-22,89,False
2013-12-29,89,False
